device,filedate,filetimeutc,intersectid,key,laneid,localtimems,minendtime,movementphase,signalgroupid,uuid
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODg5NTR9,4,59988954,24971,3,1,f3ef971b7f3707f8a3ffef5508fcc604
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODk0NTR9,4,59989454,24965,3,1,d3db50928ec53780d39963bb5c4f5405
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODk5NTR9,4,59989954,24960,3,1,bc06dcbf0c94c15b595369128464567e
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5OTA0NTR9,4,59990454,24955,3,1,a98620f3209e33b2d05894580df45dc5
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5OTA5NTR9,4,59990954,0,0,1,a1d03c7cddd21c13969b0ba27fc77e6d
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5OTE0NTR9,4,59991454,24945,3,1,30e19e7460af28bac46014c0f1ec8c45
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5OTE5NTR9,4,59991954,24940,3,1,0bc8d99bc883b44f9162032a69c8e0fa
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5OTI0NTR9,4,59992454,24935,3,1,54411b22e6862cd744111cf9ca2fc9de
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5OTI5NTV9,4,59992955,0,0,1,492756a46839b239c3c5e791cc5b1cb3
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5OTM0NTV9,4,59993455,24926,3,1,7aceeed8f52d9f3ae29e95b5182d0350
